Date / Time	TURBIDITY;FTU	PRESSURE;DBAR	TEMPERATURE;C	DISSOLVED OXYGEN;SAT%	ALTITUDE;M	CONDUCTIVITY;MS/CM	FLUOROMETER (C);UG/L	PH;PH	Calc. SALINITY; PSU	Calc. DEPTH;M	LATITUDE;DEG	LONGITUDE;DEG
07/10/2022 16:44:07.000	986.875	0000.016	0024.866	0092.690	0096.011	0039.260	0001.800	0008.403	0048.973	0000.016	30.160701	-89.045494
07/10/2022 16:44:08.000	1863.750	0000.016	0024.865	0092.690	0007.398	0014.260	0001.863	0008.406	0016.102	0000.016	30.160697	-89.045486
07/10/2022 16:44:08.000	1678.313	0000.017	0024.868	0092.695	0007.463	0003.028	0001.575	0008.402	0003.060	0000.017	30.160695	-89.045481
07/10/2022 16:44:08.000	1400.313	0000.021	0024.867	0092.710	0089.078	0006.908	0001.488	0008.424	0007.376	0000.021	30.160693	-89.045477
07/10/2022 16:44:08.000	2484.875	0000.021	0024.870	0092.710	0088.295	0030.638	0001.538	0008.416	0037.141	0000.021	30.160692	-89.045473
07/10/2022 16:44:09.000	1821.938	0000.024	0024.870	0092.710	0091.463	0028.946	0001.725	0008.410	0034.880	0000.024	30.160690	-89.045468
07/10/2022 16:44:09.000	901.438	0000.092	0024.869	0092.710	0007.382	0036.822	0001.438	0008.401	0045.574	0000.092	30.160687	-89.045460
07/10/2022 16:44:09.000	194.937	0000.238	0024.865	0092.715	0007.272	0040.474	0001.400	0008.412	0050.681	0000.237	30.160686	-89.045456
07/10/2022 16:44:09.000	170.125	0000.317	0024.859	0092.755	0007.177	0041.862	0001.288	0008.393	0052.647	0000.316	30.160685	-89.045453
07/10/2022 16:44:10.000	78.625	0000.357	0024.842	0092.755	0007.147	0041.866	0001.313	0008.396	0052.653	0000.356	30.160682	-89.045445
07/10/2022 16:44:10.000	10.938	0000.408	0024.823	0092.755	0007.189	0041.848	0001.350	0008.400	0052.627	0000.407	30.160680	-89.045442
07/10/2022 16:44:10.000	5.188	0000.440	0024.809	0092.760	0007.247	0041.846	0001.363	0008.404	0052.624	0000.439	30.160678	-89.045439
07/10/2022 16:44:10.000	4.500	0000.503	0024.802	0091.950	0007.609	0041.854	0001.337	0008.402	0052.636	0000.501	30.160676	-89.045436
07/10/2022 16:44:11.000	4.313	0000.582	0024.791	0092.795	0008.052	0041.842	0001.337	0008.402	0052.619	0000.580	30.160672	-89.045430
07/10/2022 16:44:11.000	4.375	0000.646	0024.790	0092.790	0008.338	0041.842	0001.425	0008.401	0052.619	0000.644	30.160670	-89.045428
07/10/2022 16:44:11.000	4.188	0000.748	0024.802	0092.800	0008.238	0041.858	0001.400	0008.403	0052.641	0000.746	30.160669	-89.045425
07/10/2022 16:44:11.000	4.125	0000.879	0024.785	0092.790	0008.043	0041.904	0001.375	0008.402	0052.707	0000.876	30.160667	-89.045423
07/10/2022 16:44:12.000	4.063	0000.982	0024.764	0092.780	0007.951	0041.988	0001.363	0008.401	0052.826	0000.979	30.160666	-89.045417
07/10/2022 16:44:12.000	4.000	0001.074	0024.742	0092.775	0007.769	0042.086	0001.313	0008.401	0052.966	0001.071	30.160665	-89.045415
07/10/2022 16:44:12.000	3.938	0001.131	0024.731	0092.775	0007.711	0042.224	0001.200	0008.400	0053.162	0001.127	30.160664	-89.045412
07/10/2022 16:44:12.000	4.000	0001.203	0024.722	0092.775	0007.602	0042.274	0001.263	0008.399	0053.233	0001.199	30.160663	-89.045409
07/10/2022 16:44:13.000	3.875	0001.267	0024.712	0092.770	0007.203	0042.610	0001.238	0008.396	0053.712	0001.263	30.160662	-89.045406
07/10/2022 16:44:13.000	3.750	0001.318	0024.707	0092.700	0007.301	0042.630	0001.225	0008.396	0053.741	0001.314	30.160660	-89.045402
07/10/2022 16:44:13.000	3.750	0001.391	0024.698	0092.690	0007.178	0042.574	0001.263	0008.396	0053.661	0001.387	30.160658	-89.045401
07/10/2022 16:44:13.000	3.750	0001.487	0024.694	0092.690	0007.011	0042.716	0001.325	0008.395	0053.864	0001.482	30.160657	-89.045399
07/10/2022 16:44:14.000	3.688	0001.585	0024.694	0092.690	0007.128	0043.542	0001.475	0008.389	0055.046	0001.580	30.160655	-89.045394
07/10/2022 16:44:14.000	3.750	0001.684	0024.722	0091.895	0006.806	0044.868	0001.563	0008.385	0056.954	0001.679	30.160654	-89.045392
07/10/2022 16:44:14.000	3.625	0001.792	0024.799	0092.470	0006.752	0045.930	0001.938	0008.390	0058.491	0001.786	30.160653	-89.045390
07/10/2022 16:44:14.000	3.813	0001.892	0024.883	0092.470	0006.457	0046.592	0002.188	0008.394	0059.454	0001.886	30.160652	-89.045388
07/10/2022 16:44:15.000	3.813	0002.007	0024.953	0092.465	0006.290	0046.786	0002.650	0008.399	0059.737	0002.001	30.160650	-89.045385
07/10/2022 16:44:15.000	3.875	0002.089	0025.006	0092.465	0006.205	0047.214	0003.038	0008.403	0060.362	0002.082	30.160649	-89.045383
07/10/2022 16:44:15.000	3.875	0002.159	0025.049	0093.705	0006.062	0048.198	0003.713	0008.409	0061.804	0002.152	30.160648	-89.045382
07/10/2022 16:44:15.000	4.125	0002.236	0025.091	0093.710	0005.872	0048.342	0003.538	0008.415	0062.015	0002.229	30.160647	-89.045380
07/10/2022 16:44:16.000	4.000	0002.340	0025.126	0093.705	0005.771	0048.390	0003.250	0008.420	0062.086	0002.333	30.160645	-89.045377
07/10/2022 16:44:16.000	4.063	0002.455	0025.160	0093.710	0005.515	0048.474	0003.313	0008.424	0062.210	0002.447	30.160645	-89.045375
07/10/2022 16:44:16.000	4.313	0002.570	0025.191	0093.710	0005.445	0048.478	0004.075	0008.427	0062.215	0002.562	30.160644	-89.045373
07/10/2022 16:44:16.000	3.938	0002.687	0025.214	0096.025	0005.194	0048.478	0004.050	0008.430	0062.215	0002.679	30.160644	-89.045372
07/10/2022 16:44:17.000	3.875	0002.795	0025.229	0096.015	0005.183	0048.464	0003.963	0008.431	0062.195	0002.786	30.160643	-89.045370
07/10/2022 16:44:17.000	4.063	0002.891	0025.234	0096.020	0004.965	0048.460	0003.775	0008.433	0062.189	0002.882	30.160641	-89.045367
07/10/2022 16:44:17.000	3.875	0002.990	0025.236	0096.020	0004.782	0048.470	0004.213	0008.434	0062.204	0002.981	30.160640	-89.045366
07/10/2022 16:44:17.000	4.063	0003.078	0025.232	0095.590	0004.718	0048.460	0003.650	0008.432	0062.189	0003.068	30.160639	-89.045365
07/10/2022 16:44:18.000	4.563	0003.153	0025.228	0097.825	0004.705	0048.452	0003.888	0008.437	0062.177	0003.143	30.160637	-89.045363
07/10/2022 16:44:18.000	4.188	0003.256	0025.223	0097.840	0004.503	0048.456	0003.813	0008.437	0062.183	0003.246	30.160636	-89.045362
07/10/2022 16:44:18.000	4.188	0003.310	0025.221	0097.840	0004.390	0048.454	0004.050	0008.437	0062.180	0003.300	30.160636	-89.045361
07/10/2022 16:44:18.000	4.313	0003.343	0025.221	0097.835	0004.380	0048.460	0004.188	0008.438	0062.189	0003.333	30.160635	-89.045359
07/10/2022 16:44:19.000	4.188	0003.362	0025.220	0098.375	0004.312	0048.462	0004.188	0008.438	0062.192	0003.352	30.160634	-89.045357
07/10/2022 16:44:19.000	4.438	0003.368	0025.219	0098.385	0004.258	0048.458	0004.000	0008.440	0062.186	0003.357	30.160634	-89.045355
