Date / Time	TURBIDITY;FTU	PRESSURE;DBAR	TEMPERATURE;C	DISSOLVED OXYGEN;SAT%	ALTITUDE;M	CONDUCTIVITY;MS/CM	FLUOROMETER (C);UG/L	PH;PH	Calc. SALINITY; PSU	Calc. DEPTH;M	LATITUDE;DEG	LONGITUDE;DEG
30/09/2021 19:19:30.000	21.125	-000.028	0026.540	0102.895	0014.929	0000.102	0010.150	0008.478	0000.087	-000.029	30.187038	-91.985368
30/09/2021 19:19:31.000	6.750	-000.029	0026.538	0102.895	0014.959	0000.100	0010.063	0008.484	0000.085	-000.030	30.187040	-91.985370
30/09/2021 19:19:31.000	6.438	-000.031	0026.538	0102.895	0014.956	0000.102	0009.963	0008.479	0000.087	-000.032	30.187043	-91.985375
30/09/2021 19:19:31.000	7.750	-000.028	0026.539	0102.745	0014.863	0000.100	0010.013	0008.487	0000.085	-000.029	30.187044	-91.985377
30/09/2021 19:19:31.000	6.000	-000.029	0026.538	0102.745	0014.880	0000.100	0010.013	0008.473	0000.085	-000.030	30.187045	-91.985379
30/09/2021 19:19:32.000	6.250	0000.017	0026.539	0102.750	0014.915	0000.100	0009.788	0008.428	0000.085	0000.017	30.187046	-91.985382
30/09/2021 19:19:32.000	5.563	0000.053	0026.537	0102.745	0014.955	0000.100	0009.762	0008.416	0000.085	0000.054	30.187047	-91.985384
30/09/2021 19:19:32.000	7.563	0000.133	0026.538	0102.750	0014.821	0000.100	0009.613	0008.427	0000.085	0000.136	30.187049	-91.985386
30/09/2021 19:19:32.000	6.063	0000.235	0026.538	0102.455	0014.721	0000.100	0009.262	0008.361	0000.085	0000.241	30.187050	-91.985389
30/09/2021 19:19:33.000	5.438	0000.307	0026.538	0102.460	0014.616	0000.100	0009.050	0008.335	0000.085	0000.314	30.187053	-91.985392
30/09/2021 19:19:33.000	5.313	0000.390	0026.538	0102.460	0014.554	0000.100	0009.262	0008.304	0000.085	0000.399	30.187055	-91.985396
30/09/2021 19:19:33.000	5.375	0000.447	0026.534	0102.460	0014.497	0000.100	0009.563	0008.290	0000.085	0000.457	30.187056	-91.985398
30/09/2021 19:19:33.000	5.375	0000.526	0026.530	0102.150	0014.472	0000.102	0009.663	0008.205	0000.087	0000.538	30.187057	-91.985400
30/09/2021 19:19:34.000	5.438	0000.594	0026.527	0102.050	0014.436	0000.100	0009.875	0008.168	0000.085	0000.608	30.187058	-91.985402
30/09/2021 19:19:34.000	5.500	0000.695	0026.520	0102.050	0014.490	0000.102	0011.475	0008.129	0000.087	0000.711	30.187060	-91.985406
30/09/2021 19:19:34.000	5.750	0000.775	0026.503	0102.060	0014.555	0000.100	0012.188	0008.112	0000.085	0000.793	30.187061	-91.985409
30/09/2021 19:19:34.000	5.813	0000.856	0026.430	0102.050	0014.420	0000.102	0012.687	0007.950	0000.087	0000.876	30.187062	-91.985412
30/09/2021 19:19:35.000	5.563	0000.924	0026.310	0099.860	0014.387	0000.100	0013.487	0007.860	0000.085	0000.946	30.187062	-91.985414
30/09/2021 19:19:35.000	5.563	0001.016	0026.215	0099.855	0014.333	0000.100	0012.713	0007.855	0000.085	0001.040	30.187063	-91.985415
30/09/2021 19:19:35.000	5.625	0001.094	0026.146	0099.855	0014.451	0000.100	0012.350	0007.809	0000.085	0001.120	30.187064	-91.985417
30/09/2021 19:19:35.000	5.563	0001.158	0026.101	0099.850	0014.361	0000.100	0012.287	0007.740	0000.085	0001.185	30.187065	-91.985419
30/09/2021 19:19:36.000	5.500	0001.250	0026.060	0099.850	0014.396	0000.100	0012.275	0007.729	0000.085	0001.279	30.187066	-91.985423
30/09/2021 19:19:36.000	5.500	0001.346	0026.010	0092.545	0014.215	0000.100	0012.450	0007.684	0000.085	0001.378	30.187067	-91.985425
30/09/2021 19:19:36.000	5.563	0001.442	0025.954	0092.540	0013.979	0000.100	0012.413	0007.634	0000.085	0001.476	30.187068	-91.985426
30/09/2021 19:19:36.000	5.500	0001.510	0025.903	0092.545	0013.918	0000.100	0011.812	0007.586	0000.085	0001.545	30.187069	-91.985429
30/09/2021 19:19:37.000	5.438	0001.609	0025.857	0092.545	0013.977	0000.100	0011.363	0007.468	0000.085	0001.647	30.187071	-91.985432
30/09/2021 19:19:37.000	5.563	0001.700	0025.820	0089.190	0013.776	0000.100	0011.237	0007.424	0000.085	0001.740	30.187072	-91.985434
30/09/2021 19:19:37.000	5.438	0001.789	0025.795	0086.585	0013.509	0000.100	0011.875	0007.469	0000.085	0001.831	30.187073	-91.985435
30/09/2021 19:19:37.000	5.563	0001.862	0025.776	0086.595	0013.607	0000.102	0010.700	0007.525	0000.087	0001.906	30.187073	-91.985437
30/09/2021 19:19:38.000	5.500	0001.947	0025.767	0086.595	0013.450	0000.100	0009.625	0007.478	0000.085	0001.993	30.187074	-91.985439
30/09/2021 19:19:38.000	5.313	0002.045	0025.756	0086.595	0013.307	0000.100	0009.425	0007.413	0000.085	0002.093	30.187075	-91.985441
30/09/2021 19:19:38.000	5.250	0002.130	0025.748	0083.445	0013.224	0000.100	0008.850	0007.434	0000.085	0002.180	30.187076	-91.985442
30/09/2021 19:19:38.000	5.063	0002.219	0025.741	0083.455	0012.993	0000.100	0008.288	0007.362	0000.085	0002.271	30.187076	-91.985444
30/09/2021 19:19:39.000	5.063	0002.323	0025.734	0083.450	0012.966	0000.100	0008.025	0007.387	0000.085	0002.377	30.187077	-91.985447
30/09/2021 19:19:39.000	5.000	0002.391	0025.730	0083.450	0012.875	0000.100	0007.912	0007.365	0000.085	0002.447	30.187078	-91.985449
30/09/2021 19:19:39.000	5.000	0002.499	0025.729	0083.455	0012.823	0000.100	0007.450	0007.356	0000.085	0002.558	30.187079	-91.985450
30/09/2021 19:19:39.000	5.000	0002.577	0025.726	0079.750	0012.724	0000.100	0007.350	0007.348	0000.085	0002.637	30.187080	-91.985452
30/09/2021 19:19:40.000	4.938	0002.658	0025.723	0079.755	0012.524	0000.100	0007.287	0007.348	0000.085	0002.720	30.187081	-91.985455
30/09/2021 19:19:40.000	4.938	0002.749	0025.722	0079.750	0012.336	0000.100	0007.100	0007.323	0000.085	0002.813	30.187082	-91.985457
30/09/2021 19:19:40.000	4.938	0002.843	0025.717	0079.750	0012.175	0000.100	0006.775	0007.339	0000.085	0002.910	30.187082	-91.985458
30/09/2021 19:19:40.000	4.875	0002.943	0025.710	0078.750	0012.105	0000.100	0006.412	0007.308	0000.085	0003.012	30.187083	-91.985459
30/09/2021 19:19:41.000	4.875	0003.019	0025.708	0078.090	0012.077	0000.100	0005.863	0007.252	0000.085	0003.090	30.187084	-91.985461
30/09/2021 19:19:41.000	4.875	0003.116	0025.704	0078.095	0012.074	0000.100	0005.188	0007.297	0000.085	0003.189	30.187085	-91.985462
30/09/2021 19:19:41.000	5.000	0003.198	0025.700	0078.095	0011.907	0000.100	0004.787	0007.250	0000.085	0003.273	30.187085	-91.985464
30/09/2021 19:19:41.000	5.250	0003.270	0025.682	0078.095	0011.774	0000.100	0004.175	0007.190	0000.085	0003.347	30.187086	-91.985465
30/09/2021 19:19:42.000	5.313	0003.365	0025.659	0075.045	0011.661	0000.100	0004.088	0007.147	0000.085	0003.444	30.187088	-91.985468
30/09/2021 19:19:42.000	5.188	0003.447	0025.633	0075.050	0011.570	0000.102	0004.025	0007.145	0000.087	0003.528	30.187088	-91.985468
30/09/2021 19:19:42.000	5.125	0003.523	0025.604	0075.050	0011.491	0000.100	0003.975	0007.058	0000.085	0003.606	30.187088	-91.985470
30/09/2021 19:19:42.000	5.375	0003.603	0025.575	0075.045	0011.377	0000.100	0003.675	0007.066	0000.085	0003.687	30.187089	-91.985471
30/09/2021 19:19:43.000	5.438	0003.689	0025.557	0075.055	0011.327	0000.100	0003.487	0007.064	0000.085	0003.775	30.187090	-91.985473
30/09/2021 19:19:43.000	5.500	0003.777	0025.534	0062.920	0011.170	0000.102	0003.350	0007.041	0000.087	0003.865	30.187090	-91.985474
30/09/2021 19:19:43.000	5.500	0003.859	0025.507	0062.915	0011.162	0000.102	0003.163	0007.035	0000.087	0003.949	30.187091	-91.985477
30/09/2021 19:19:43.000	5.313	0003.932	0025.490	0062.920	0010.976	0000.102	0003.112	0007.007	0000.087	0004.024	30.187092	-91.985478
30/09/2021 19:19:44.000	5.313	0004.013	0025.473	0062.920	0010.875	0000.102	0003.100	0006.961	0000.087	0004.107	30.187093	-91.985479
