Date / Time	TURBIDITY;FTU	PRESSURE;DBAR	TEMPERATURE;C	DISSOLVED OXYGEN;SAT%	ALTITUDE;M	CONDUCTIVITY;MS/CM	FLUOROMETER (C);UG/L	PH;PH	Calc. SALINITY; PSU	Calc. DEPTH;M	LATITUDE;DEG	LONGITUDE;DEG
06/10/2022 12:58:12.000	669.438	-000.000	0022.828	0088.385	0003.119	0029.054	0007.213	0008.256	0035.024	-000.000	30.391699	-88.835831
06/10/2022 12:58:12.000	383.312	0000.004	0022.827	0088.370	0003.129	0028.114	0007.450	0008.258	0033.775	0000.004	30.391701	-88.835822
06/10/2022 12:58:13.000	197.687	-000.004	0022.831	0088.380	0003.154	0029.212	0007.588	0008.256	0035.234	-000.004	30.391702	-88.835818
06/10/2022 12:58:13.000	304.125	-000.009	0022.835	0088.375	0003.162	0028.080	0007.838	0008.256	0033.730	-000.009	30.391703	-88.835814
06/10/2022 12:58:13.000	672.750	-000.006	0022.839	0088.375	0084.585	0029.586	0007.912	0008.255	0035.733	-000.006	30.391704	-88.835809
06/10/2022 12:58:13.000	105.500	0000.073	0022.837	0088.265	0092.768	0029.522	0007.787	0008.264	0035.648	0000.073	30.391705	-88.835801
06/10/2022 12:58:14.000	65.563	0000.084	0022.836	0088.260	0003.102	0028.998	0007.888	0008.261	0034.949	0000.084	30.391706	-88.835797
06/10/2022 12:58:14.000	180.625	0000.076	0022.832	0088.260	0000.000	0029.070	0008.100	0008.259	0035.045	0000.076	30.391707	-88.835793
06/10/2022 12:58:14.000	161.437	0000.061	0022.831	0088.255	0003.215	0028.968	0008.225	0008.256	0034.909	0000.061	30.391708	-88.835789
06/10/2022 12:58:14.000	249.250	0000.057	0022.831	0088.160	0003.126	0029.028	0008.225	0008.258	0034.989	0000.057	30.391709	-88.835782
06/10/2022 12:58:15.000	44.750	0000.056	0022.833	0088.115	0003.101	0029.634	0008.063	0008.258	0035.797	0000.056	30.391709	-88.835778
06/10/2022 12:58:15.000	16.125	0000.063	0022.858	0088.165	0003.122	0030.354	0008.225	0008.254	0036.760	0000.063	30.391710	-88.835774
06/10/2022 12:58:15.000	40.375	0000.068	0022.899	0088.165	0003.126	0030.394	0008.375	0008.248	0036.814	0000.068	30.391711	-88.835771
06/10/2022 12:58:15.000	19.000	0000.068	0022.922	0088.165	0003.126	0030.338	0008.725	0008.244	0036.739	0000.068	30.391712	-88.835763
06/10/2022 12:58:16.000	15.125	0000.065	0022.940	0087.965	0000.000	0030.778	0008.575	0008.239	0037.329	0000.065	30.391712	-88.835760
06/10/2022 12:58:16.000	16.938	0000.062	0022.950	0087.965	0003.191	0030.792	0008.575	0008.232	0037.348	0000.062	30.391713	-88.835757
06/10/2022 12:58:16.000	35.125	0000.058	0022.964	0087.960	0003.251	0030.642	0008.575	0008.221	0037.147	0000.058	30.391714	-88.835754
06/10/2022 12:58:16.000	22.687	0000.054	0022.973	0087.970	0003.146	0030.598	0008.575	0008.218	0037.088	0000.054	30.391715	-88.835747
06/10/2022 12:58:17.000	28.563	0000.056	0022.974	0087.965	0003.181	0030.698	0008.825	0008.219	0037.222	0000.056	30.391715	-88.835744
06/10/2022 12:58:17.000	42.750	0000.063	0022.979	0086.365	0003.162	0030.682	0008.688	0008.219	0037.200	0000.063	30.391716	-88.835741
06/10/2022 12:58:17.000	27.375	0000.041	0022.989	0086.360	0003.105	0030.802	0008.463	0008.223	0037.362	0000.041	30.391717	-88.835738
06/10/2022 12:58:17.000	51.875	-000.005	0023.003	0086.365	0003.255	0029.022	0008.575	0008.220	0034.981	-000.005	30.391718	-88.835732
06/10/2022 12:58:18.000	403.312	-000.007	0023.012	0086.360	0000.139	0027.120	0008.225	0008.216	0032.462	-000.007	30.391718	-88.835729
06/10/2022 12:58:18.000	71.813	0000.002	0023.024	0084.265	0003.276	0030.774	0008.275	0008.210	0037.324	0000.002	30.391719	-88.835726
06/10/2022 12:58:18.000	27.375	-000.006	0023.037	0084.280	0003.261	0030.820	0007.800	0008.205	0037.386	-000.006	30.391720	-88.835723
06/10/2022 12:58:18.000	21.437	-000.004	0023.048	0084.265	0003.238	0031.156	0008.413	0008.200	0037.838	-000.004	30.391721	-88.835718
06/10/2022 12:58:19.000	54.187	-000.003	0023.063	0084.275	0003.228	0031.004	0008.637	0008.196	0037.633	-000.003	30.391721	-88.835715
06/10/2022 12:58:19.000	42.688	-000.002	0023.076	0084.260	0003.221	0031.452	0008.738	0008.195	0038.236	-000.002	30.391722	-88.835713
06/10/2022 12:58:19.000	15.500	-000.002	0023.089	0083.280	0003.256	0031.326	0008.075	0008.192	0038.066	-000.002	30.391722	-88.835710
06/10/2022 12:58:19.000	77.688	-000.001	0023.095	0083.280	0003.211	0029.886	0008.100	0008.190	0036.134	-000.001	30.391723	-88.835705
06/10/2022 12:58:20.000	46.687	-000.005	0023.089	0083.285	0003.200	0016.304	0008.475	0008.187	0018.619	-000.005	30.391724	-88.835702
06/10/2022 12:58:20.000	299.625	-000.002	0023.071	0083.290	0093.897	0020.560	0008.488	0008.187	0023.965	-000.002	30.391725	-88.835700
06/10/2022 12:58:20.000	93.500	-000.001	0023.055	0083.290	0003.244	0030.844	0008.500	0008.191	0037.418	-000.001	30.391725	-88.835697
06/10/2022 12:58:20.000	19.813	-000.001	0023.039	0082.185	0003.256	0030.738	0008.338	0008.193	0037.276	-000.001	30.391727	-88.835693
06/10/2022 12:58:21.000	12.938	-000.002	0023.015	0082.180	0003.292	0030.600	0008.200	0008.197	0037.090	-000.002	30.391727	-88.835690
06/10/2022 12:58:21.000	37.625	-000.002	0023.003	0082.175	0003.218	0030.526	0008.363	0008.196	0036.991	-000.002	30.391728	-88.835688
06/10/2022 12:58:21.000	35.938	-000.002	0022.992	0082.180	0003.254	0030.606	0008.900	0008.199	0037.098	-000.002	30.391728	-88.835686
06/10/2022 12:58:21.000	14.313	-000.001	0022.985	0081.905	0003.335	0030.636	0008.525	0008.202	0037.139	-000.001	30.391729	-88.835681
06/10/2022 12:58:22.000	14.188	-000.001	0022.974	0081.875	0003.277	0030.488	0008.550	0008.203	0036.940	-000.001	30.391730	-88.835679
06/10/2022 12:58:22.000	16.500	-000.002	0022.964	0081.915	0003.273	0030.560	0008.313	0008.204	0037.037	-000.002	30.391730	-88.835677
06/10/2022 12:58:22.000	18.000	-000.002	0022.961	0081.910	0003.227	0030.488	0008.425	0008.204	0036.940	-000.002	30.391731	-88.835675
06/10/2022 12:58:22.000	42.125	-000.003	0022.960	0081.915	0003.239	0030.588	0008.425	0008.206	0037.074	-000.003	30.391732	-88.835670
06/10/2022 12:58:23.000	15.938	-000.002	0022.961	0082.210	0000.000	0030.600	0008.525	0008.207	0037.090	-000.002	30.391732	-88.835668
06/10/2022 12:58:23.000	15.438	-000.003	0022.958	0082.215	0003.224	0030.430	0008.475	0008.206	0036.862	-000.003	30.391733	-88.835666
06/10/2022 12:58:23.000	27.813	-000.003	0022.950	0082.210	0000.000	0030.190	0008.500	0008.206	0036.541	-000.003	30.391733	-88.835664
06/10/2022 12:58:23.000	18.750	-000.002	0022.943	0082.215	0003.249	0030.442	0008.563	0008.207	0036.878	-000.002	30.391734	-88.835660
06/10/2022 12:58:24.000	13.312	-000.002	0022.938	0082.205	0003.268	0030.380	0008.387	0008.209	0036.795	-000.002	30.391734	-88.835658
06/10/2022 12:58:24.000	12.000	-000.002	0022.930	0082.560	0003.208	0030.288	0008.163	0008.210	0036.672	-000.002	30.391735	-88.835656
06/10/2022 12:58:24.000	30.938	-000.002	0022.922	0082.550	0003.261	0029.882	0008.275	0008.212	0036.129	-000.002	30.391735	-88.835654
06/10/2022 12:58:24.000	27.188	-000.002	0022.914	0082.550	0003.259	0030.122	0007.800	0008.213	0036.450	-000.002	30.391736	-88.835650
06/10/2022 12:58:25.000	51.937	-000.002	0022.913	0082.545	0003.286	0030.294	0007.625	0008.218	0036.680	-000.002	30.391737	-88.835649
06/10/2022 12:58:25.000	19.500	-000.002	0022.906	0083.070	0003.269	0030.292	0007.763	0008.215	0036.677	-000.002	30.391737	-88.835647
06/10/2022 12:58:25.000	12.625	-000.002	0022.910	0083.050	0003.258	0030.474	0007.975	0008.216	0036.921	-000.002	30.391738	-88.835645
06/10/2022 12:58:25.000	11.625	-000.002	0022.933	0083.070	0003.240	0030.854	0008.025	0008.213	0037.431	-000.002	30.391739	-88.835641
06/10/2022 12:58:26.000	13.125	-000.003	0022.959	0083.065	0003.274	0030.828	0007.900	0008.212	0037.397	-000.003	30.391739	-88.835640
06/10/2022 12:58:26.000	12.563	-000.003	0022.976	0083.065	0003.231	0030.492	0007.975	0008.211	0036.946	-000.003	30.391740	-88.835638
06/10/2022 12:58:26.000	16.625	-000.002	0022.990	0083.605	0003.234	0030.620	0008.075	0008.207	0037.117	-000.002	30.391740	-88.835636
06/10/2022 12:58:26.000	14.438	-000.002	0022.997	0083.605	0003.275	0030.304	0008.250	0008.207	0036.693	-000.002	30.391741	-88.835633
06/10/2022 12:58:27.000	13.312	-000.002	0023.003	0083.610	0003.251	0030.618	0008.262	0008.206	0037.115	-000.002	30.391741	-88.835631
06/10/2022 12:58:27.000	11.563	-000.002	0023.006	0083.600	0003.237	0031.078	0008.200	0008.207	0037.733	-000.002	30.391742	-88.835630
06/10/2022 12:58:27.000	11.500	-000.001	0023.014	0083.605	0003.231	0031.170	0008.137	0008.207	0037.856	-000.001	30.391742	-88.835628
06/10/2022 12:58:27.000	14.562	-000.002	0023.028	0083.215	0003.209	0031.108	0008.363	0008.205	0037.773	-000.002	30.391744	-88.835625
06/10/2022 12:58:28.000	93.313	-000.002	0023.037	0083.215	0003.214	0030.476	0008.313	0008.199	0036.924	-000.002	30.391744	-88.835623
06/10/2022 12:58:28.000	25.375	-000.002	0023.040	0083.215	0003.267	0030.986	0008.525	0008.197	0037.609	-000.002	30.391745	-88.835622
06/10/2022 12:58:28.000	12.313	-000.002	0023.044	0083.225	0003.327	0031.106	0008.525	0008.195	0037.770	-000.002	30.391745	-88.835620
06/10/2022 12:58:28.000	11.875	-000.002	0023.047	0082.925	0003.237	0031.236	0008.413	0008.193	0037.945	-000.002	30.391746	-88.835617
06/10/2022 12:58:29.000	11.313	-000.001	0023.045	0082.945	0003.218	0031.204	0008.563	0008.192	0037.902	-000.001	30.391746	-88.835616
06/10/2022 12:58:29.000	11.688	-000.002	0023.045	0082.925	0003.248	0031.048	0008.663	0008.189	0037.692	-000.002	30.391747	-88.835614
06/10/2022 12:58:29.000	11.437	-000.003	0023.042	0082.925	0003.230	0031.060	0008.550	0008.189	0037.708	-000.003	30.391747	-88.835613
06/10/2022 12:58:29.000	12.188	-000.003	0023.039	0082.925	0003.229	0031.084	0008.525	0008.191	0037.741	-000.003	30.391748	-88.835610
